post_id,post_date,group,author,content
689,2017-12-13,NULL,artykom,I hate Tom Cruise..
690,2017-08-23,15,cracking12345,i love seattle..
691,2015-04-13,NULL,sosobanane,i love shanghai too =).
692,2019-12-09,15,rps_1899,I hate Paris Hilton.
693,2015-07-04,4,sudebala,"Then I need to look for new insurance, since AAA was an evil asshat and upped my rate, despite the fact I've been with them since 198lucking7."
694,2016-10-19,NULL,maharnav,"I love shanghai because I am from Shanghai, wherever in the world you can find Shanghairen.."
695,2015-12-23,20,amateur07,I needed San Francisco but not until a month ago.
696,2016-07-07,15,artykom,I LOVE SEATTLE.
697,2017-12-14,NULL,sudebala,I love Boston too!
698,2016-11-07,9,f1984b,All san Francisco has are shitty little old apts in this price range...
699,2016-12-23,13,odalv,i hate volkswagen..
700,2017-06-08,6,bischopscup,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school."
701,2016-08-13,10,hairy-conniption,BOSTON SUCKS!!!
702,2019-02-19,16,fsv,"I've always liked the Clipperships on the side, but I absolutely LOVE the Lakers, there's a huge difference."
703,2016-11-14,2,youralterego,I love the new Geico commercials with the celebrities..
704,2015-03-28,15,tahastanly,Then we had stupid trivia about San Francisco and sci fi tv so we left...
705,2016-10-18,18,amateur07,boston college is good too < 33.
706,2018-10-11,5,viperfish12,"i think if i hate boston, ill just disappear to california for the summers..."
707,2018-08-17,6,harmon758,"I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it..."
708,2016-09-12,16,youralterego,Boston SUCKS.
709,2017-08-05,13,tahastanly,"besides, UCLA was a stupid dream..."
710,2018-09-22,15,hassan1365416,actually the only thing that i really like about purdue is my apartment....
711,2015-10-06,15,alex945,i hate paris hilton..
712,2019-11-27,9,tahastanly,I love Tom Cruise!
713,2015-05-28,8,citrus2014,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
714,2019-01-30,20,odalv,PARIS HILTON SUCKS!
715,2019-08-31,11,harmon758,I LIKE PARIS HILTON AND I WOULD JOIN HER OFFICIAL FAN CLUB.
716,2016-11-08,16,f1984b,miss you aaa ~..
717,2015-08-04,NULL,maharnav,", Boston is great..."
718,2016-4-31,15,jerusseust,"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside."
719,2015-09-09,5,stethoscopes,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
720,2018-07-17,16,artykom,i love seattle..
721,2018-6-31,12,rexlex,but i love harvard.
722,2015-2-30,10,viperfish12,I love Tom Cruise.
723,2016-12-11,20,timequake,"n metti wa gor wait me end up the ce,. then we hv dinner ga..... i love u galz say "" wait me "" aaa."
724,2018-11-06,9,alex945,After that I peaced out avec Kalvis and we had a drunken dance party in my room and took stupid macbook webcam photos ( in which I will post in a second ).
725,2017-08-28,19,alex945,"I definitely slept in my coat, but I slept really comfortably, because I had my awesome purdue blanket my mommy made me, and my own pillow....."
726,2019-07-29,18,timequake,Boston can suck my lucking cuticless...
727,2015-10-09,NULL,rexlex,"Though I want a Vios / Honda Jazz badly, I think I'll be fine in a 2nd hand Myvi or Waja or Gen 2 or anything decent."
728,2016-05-24,1,tahastanly,I told her that UCLA is excellent for both...
729,2015-10-13,9,sudebala,"i think if i hate boston, ill just disappear to california for the summers..."
730,2016-10-07,NULL,youralterego,Seattle sucks in bumper to bumper if you're on a hill with a stick shift.
731,2015-07-26,15,harmon758,I hate Seattle..
732,2016-02-25,13,harmon758,I need some of that geico balboa stuff..
733,2017-05-17,1,craciun05,"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april..."
734,2018-12-01,18,hairy-conniption,i also enjoy the citi dividends cars...
735,2015-07-10,20,piley159,"Angelina Jolie says that being self-destructive is selfish and you ought to think of the poor, starving, mutilated people all around the world."
736,2019-02-05,12,nitsua49,stupid kids and their need for Honda emblems):
737,2019-09-13,2,cracking12345,I love Harvard guys...
738,2017-6-31,16,bischopscup,i love the lakers as you can see.
739,2017-06-28,4,aminox,I hate London!!!!!!!
740,2015-10-31,19,rps_1899,Hush. ) I love Boston because I get to hang out with so many friends just this week alone that I'm used to only seeing once or twice a year.
741,2017-07-18,18,mmarvin,"i LOVE san francisco, and i find myself missing it......"
742,2019-01-01,13,cracking12345,miss you aaa ~..
743,2016-03-16,NULL,f1984b,"The history here goes back to the summer of 1992, when the San Francisco Giants were terrible."
744,2019-05-12,6,sosobanane,the beautiful Harvard grad —..
745,2016-12-07,16,youralterego,"By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1)"
746,2018-05-29,NULL,mmarvin,"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland."
747,2017-06-15,14,piley159,I like living in Seattle again.
748,2015-11-22,8,maharnav,I love Paris Hilton..
749,2017-04-19,4,stethoscopes,"By the way, I hate LONDON..."
750,2019-07-19,NULL,tahastanly,i actually did check my mail and stupid capital one sent me something in one of those puffy package things...
751,2017-03-23,5,stethoscopes,Love Story At Harvard [ awesome drama!
752,2017-07-17,17,mmarvin,I love Tom Cruise!
753,2015-02-26,6,f1984b,"Since then, 25 automakers including Toyota Motor Corp. and Honda Motor Co. have recalled about 370,000 defective vehicles, according to the agency."
754,2015-04-01,18,hassan1365416,I'd love a Toyota van..
755,2015-03-06,10,harmon758,I hate paris hilton too!
756,2017-11-26,NULL,stethoscopes,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..
757,2016-09-03,14,f1984b,I absolutely love my MacBook Pro.
758,2018-08-13,15,odalv,stupid lakers!!!!!!!!!!!
759,2016-9-31,NULL,sosobanane,I love UCLA but miss everyone from back home.
760,2016-04-20,9,citrus2014,there's absolutely no way that this is happening
761,2016-02-20,NULL,tahastanly,I hate Paris Hilton.
762,2017-06-16,NULL,stethoscopes,AAA rocks.
763,2015-06-19,20,rexlex,i try to enjoy my time here in san francisco.......
764,2018-06-22,20,stethoscopes,BOSTON SUCKS!!!
765,2019-08-18,14,stethoscopes,"I love the London Little People, btw."
766,2016-06-05,17,timequake,I HATE LONDON!..
767,2015-11-01,19,rps_1899,"next time you make it, use the corned beef i like na lng * wink * the hereford brand ata..."
768,2015-09-14,18,timequake,"I despise Paris Hilton, but hey, she was finally good for something..."
769,2015-12-18,NULL,mmarvin,"I really, really hate TOM CRUISE."
770,2015-05-22,2,jerusseust,"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done."
771,2018-06-28,7,sudebala,"Along the sides of exit fly-over there were parallel parking spots for "" attractive cars only "" — the sign listed several criteria of which my crappy Honda qualified for none."
772,2018-06-16,10,aminox,I hate the exodus of subarus and honda crv's and volvos.
773,2016-02-04,3,viperfish12,garbage…
774,2019-04-17,14,cracking12345,"I've been working on an article, and Antid Oto has been, er, so upset about the shitty Harvard plagiarizer that he hasn't been able to even look at keyboards."
775,2015-01-01,NULL,timequake,"London yesterday kinda sucked tbh, well, the Houses of Parliament did anyway."
776,2015-04-27,7,f1984b,I like your new macbook...
777,2017-01-01,13,maharnav,anyways i loved beijing as much as i loved shanghai.
778,2016-01-17,20,jerusseust,Funny that harvard was almost more stressful than MY AUDITION!
779,2018-07-31,5,cracking12345,"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable...."
780,2017-12-07,7,tahastanly,That's why I most love the Harvard story:
781,2015-05-16,19,sudebala,boston is great: ).
782,2017-09-29,NULL,mohamadi46,"lets see, i saw: winter sonata, tree of heaven, and love story in harvard loll..-_ -;;"
783,2018-05-27,8,rexlex,"it has taken forever to figure out where I needed to go to do everything, and it turns out that half the things have to be done in London, which is just great."
784,2018-02-23,18,sheik_yerbouti,Angelina Jolie is beautiful.
785,2017-10-08,14,timequake,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!
786,2017-07-09,11,stethoscopes,"I like being at Purdue, not with my family."
787,2018-09-07,NULL,aminox,i love mit and harvard both..
788,2017-10-22,NULL,amateur07,AAA is terrible.
789,2015-07-25,2,piley159,I miss Boston a lot.
790,2016-05-23,NULL,stethoscopes,"Oh man, last night's Lakers playoff game was awesome."
791,2017-12-20,15,alex945,lakers suck!
792,2015-11-07,NULL,sheik_yerbouti,"I love this AllState commercial called "" Tailgating "" where I see a bunch of people marching in the streets and tailgaters at a college football game with their barbecue setup near their SUV."
793,2019-06-12,14,aminox,haha i love the geico lizard too!!!
794,2018-06-30,4,alex945,"Stupid UCLA, deserves a good poking.."
795,2016-10-02,5,aminox,"I definitely slept in my coat, but I slept really comfortably, because I had my awesome purdue blanket my mommy made me, and my own pillow....."
796,2017-05-26,17,jerusseust,i love mit and harvard both..
797,2017-06-02,NULL,craciun05,Matt's Macbook rocks -..
798,2015-07-20,NULL,tahastanly,You are a lucking cutey and I think I may hate you even more than I hate Paris Hilton...
799,2015-08-30,9,jerusseust,I love the lakers even tho Trav makes fun of me.
800,2018-07-15,NULL,cracking12345,and i like Paris Hilton.
801,2016-08-25,NULL,jerusseust,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park."
802,2016-03-11,11,mohamadi46,gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.
803,2018-11-24,19,hassan1365416,i lucking hate tom cruise...
804,2015-02-28,5,citrus2014,I love my 13 year old Toyota!..
805,2015-04-08,NULL,mmarvin,i love shanghai too =).
806,2019-03-08,NULL,cracking12345,I hate Paris Hilton.
807,2019-08-15,NULL,alex945,Angelina Jolie is beautiful.
808,2018-01-07,2,f1984b,"As much as I love the Lakers and Kobe, I still have to state the facts..."
809,2019-01-02,1,aminox,“ London is really shitty in winter.
810,2019-03-30,19,hairy-conniption,"Before I left Missouri, I thought London was going to be so good and cool and fun and a really great experience and I was really excited."
811,2015-06-06,5,maharnav,i lOVE AMAND AAA PAVi AAA. < 3..
812,2019-07-23,NULL,bischopscup,I LOVE Seattle!!
813,2017-10-22,NULL,viperfish12,50 if we wanted to get there ata decent time to make sure we got tickets.
814,2019-08-03,3,odalv,"Those of you who don't know, I'm a big fan of the San Antonio Spurs."
815,2016-02-23,4,maharnav,then again i hate tom cruise..
816,2018-08-12,NULL,rexlex,i really like it aaa:)
817,2019-05-19,2,jerusseust,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
818,2015-09-21,12,rps_1899,i love seattle..
819,2017-06-04,2,sosobanane,I have no idea what's goin on
820,2015-06-06,17,sosobanane,I would love to go Shanghai with sister..
821,2019-07-03,NULL,timequake,Have I told you I hate Tom Cruise?..
822,2016-02-04,4,f1984b,the beautiful Harvard grad —..
823,2018-01-01,NULL,f1984b,"I hate Boston actually, but I wanted to go to a city and I'd be in a city."
824,2017-09-07,10,timequake,i hate the lakers!)..
825,2016-09-13,18,f1984b,God I love Honda's...
826,2019-02-12,NULL,f1984b,"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed."
827,2017-01-11,11,craciun05,"Prolly going to Cambridge on Tuesday, I need to see MIT to survive till the rest of the term."
828,2018-02-08,NULL,maharnav,For those who say he doesn't deserve it cuz the Lakers stink and are barely over.
829,2019-12-11,NULL,alex945,I still like Tom Cruise.
830,2018-07-18,16,stethoscopes,I love ucla.
831,2016-07-30,3,sosobanane,"as cuticlesle, tho i hate london, i did love alittle bit about london.."
832,2016-04-05,NULL,craciun05,We all know that we love Paris Hilton...
833,2018-07-10,3,sosobanane,i love shanghai too =).
834,2017-09-08,5,youralterego,"I figured San Francisco would be chock full of interesting, unique, dynamic people I would instantly click with;"
835,2019-07-26,15,hairy-conniption,and insert my usual whining about how much Geico's commercials suck now...
836,2018-12-14,4,amateur07,"Traffic in Seattle does stink, but it's a beautiful city to be stuck in."
837,2015-07-04,14,alex945,what's that smell? EW!
838,2018-08-10,8,stethoscopes,i miss san francisco more than i know and nothing is done.......
839,2019-01-23,4,maharnav,I love UCLA but miss everyone from back home.
840,2018-03-21,14,hairy-conniption,Funny that harvard was almost more stressful than MY AUDITION!
841,2017-02-14,NULL,cracking12345,I used to like Tom Cruise but the Matt Lauer interview really turned me off.
842,2017-11-01,1,tahastanly,Seattle sucks in bumper to bumper if you're on a hill with a stick shift.
843,2018-07-10,2,rexlex,i love you my harvard boy..(
844,2018-09-14,NULL,viperfish12,Way to go stupid Lakers..
845,2019-05-08,18,piley159,"Though I want a Vios / Honda Jazz badly, I think I'll be fine in a 2nd hand Myvi or Waja or Gen 2 or anything decent."
846,2015-05-02,15,hassan1365416,stupid toyota man & the lady DID look like an oompa loompa.....
847,2019-07-07,9,alex945,Harvard is also awesome.
848,2019-04-03,NULL,alex945,The owner of the Houston Rockets is an idiot.
849,2016-12-18,NULL,tahastanly,stupid kids and their need for Honda emblems):
850,2015-11-04,10,nitsua49,i love ucla!..
851,2015-06-29,NULL,cracking12345,i love mit and harvard both..
852,2015-01-03,9,jerusseust,Hillary Clinton is a mouthy cutey.
853,2018-06-13,9,f1984b,"i hate the Lakers too but this isn't a basketball blog, so i won't go into it)."
854,2018-11-06,NULL,cracking12345,Awesome diner here @ Purdue...
855,2017-03-25,3,viperfish12,"Also, Yale, Albany, Harvard, and Princeton are all good teams."
856,2017-11-19,18,sosobanane,I love Harvard Square in the fall.
857,2018-05-07,6,viperfish12,absolute garbage..
858,2015-08-31,7,rexlex,"I love Shanghai, it's such a great city, and Hongzhou is only a two hour train ride away from it."
859,2019-04-20,5,mmarvin,I'd love a Toyota van..
860,2015-02-05,10,mmarvin,I love paris hilton...
861,2016-11-13,5,bischopscup,I need some of that geico balboa stuff..
862,2019-12-02,NULL,alex945,We'll first start off with my beautiful Toyota Celica.
863,2018-05-16,17,stethoscopes,"It was a really gay flight and American Airlines is really crappy, and has really crappy food."
864,2018-10-14,NULL,f1984b,"anyway, shanghai is really beautiful"
865,2015-12-30,5,citrus2014,I love Angelina Jolie.
866,2017-04-07,16,aminox,i love you my harvard boy..(
867,2016-10-16,NULL,aminox,I don't know whether State Farm is doing anything wrong.
868,2015-03-19,10,aminox,cause obviously toyota dealer is cheating on my feelings..
869,2019-02-09,2,sheik_yerbouti,i miss AAA...
870,2019-02-13,15,artykom,I loved the Lakers episode where he told that little blonde he wants to see a woman rule the world in his lifetime because women know how to look after the pack.
871,2017-11-10,4,artykom,"Lakers suck big nuts, i swear..."
872,2016-05-08,NULL,cracking12345,i hate Shanghai MTR.........
873,2018-05-22,NULL,viperfish12,i hate united airlines i have been at SFO since 2: 30 pm...
874,2016-11-11,7,rexlex,Meet by the bean at  2 30
875,2016-09-26,NULL,fsv,Seattle sucks in bumper to bumper if you're on a hill with a stick shift.
876,2015-09-17,2,alex945,Last year's Lakers looked terrible whenever Bryant was out of the game and lost both games that he missed due to suspension.
877,2019-07-29,15,f1984b,i HATE AAA.
878,2018-01-28,14,tahastanly,Seattle is lame when it comes to ghosts..
879,2019-08-12,9,harmon758,Some ugly Toyota wanna be Hummer Honda Element.....
880,2018-05-20,13,f1984b,& i adore my little honda < 3.
881,2017-10-23,7,artykom,I was rejected by the stupid San Francisco literary agency that I sent my manuscript to.
882,2019-07-08,19,citrus2014,more girth equals more love
883,2019-03-02,13,sheik_yerbouti,"As i stepped out of my beautiful Toyota, i heard a scream as a gust of wind had just passed."
884,2017-09-18,NULL,odalv,But I like Tom Cruise.
885,2017-08-08,3,cracking12345,I love Harvard guys...
886,2019-11-27,19,harmon758,"Anyway, some crappy Honda, but, as is young peoples'customs, it has a good $ 2 million worth of sound equipment inside."
887,2017-12-15,15,fsv,"Geico would be great, and I really hope that works out."
888,2016-10-22,9,citrus2014,"Oh, how I onced loved to make Harvard undergrads cry with my grammar skillz!!"
889,2016-07-21,8,maharnav,actually the only thing that i really like about purdue is my apartment....
890,2015-01-17,18,mohamadi46,The Honda is awesome.
891,2015-09-11,NULL,sheik_yerbouti,"By the way, I hate LONDON..."
892,2019-04-26,4,hairy-conniption,"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before."
893,2019-03-15,18,bischopscup,i wouldnt really recommend uk anymore i hate london.
894,2015-05-26,NULL,sheik_yerbouti,"anyway, lakers rock."
895,2018-10-10,5,sudebala,haha i love you ashley ur ahhh-mmmm-aaa-zzzz-ing!!!
896,2017-04-28,14,timequake,I love Harvard guys...
897,2017-01-08,10,viperfish12,LOVE THIS MASTERCARD WEDDING..
898,2015-04-07,NULL,harmon758,haha i love you ashley ur ahhh-mmmm-aaa-zzzz-ing!!!
899,2015-11-30,12,jerusseust,"Proud parents Tom Cruise, 44, and Katie Holmes, 27, were on the cover with their beautiful baby girl."
900,2017-09-16,14,sheik_yerbouti,& i adore my little honda < 3.
901,2015-12-21,17,mmarvin,now i'm adding on that i hate the pre-entry program at MIT..
902,2018-10-01,19,rps_1899,gawssh i hate london i hope he blows up and his guts fly everywhere and then birds eat his guts.
903,2016-02-04,11,stethoscopes,Stupid UCLA....
904,2017-02-12,2,hairy-conniption,"I mean, we knew Harvard was dumb anyway -- right, B-girls? -- but this is further proof)..."
905,2019-06-03,18,viperfish12,It seems to me that everything I want is in Seattle.
906,2017-10-16,20,jerusseust,"Hillary Clinton, John Kerry, Bill Richardson, Howard Dean, and Mark Warner all supported the grotesque NAFTA treaty, while John Edwards and Russ Feingold have better records on trade, especially Feingold..."
907,2015-09-05,NULL,mmarvin,for as long as I can remember I've wanted Honda....
908,2016-10-26,15,piley159,"i got like 9 AAA's during the course of the tournament, ive never been that consistent in a tournament before."
909,2016-11-11,16,viperfish12,"Speaking of sad I went with Victor to go study last night and as we drove back in my car we saw a stupid little AE85 Toyota Corolla, white colored..."
910,2016-04-13,5,fsv,The Honda is awesome.
911,2018-07-03,3,viperfish12,"So basically, we can identify who is a complete cocksucking hooplehead ( I won't let Deadwood go! ) by identifying people who actually think Paris Hilton is a cool kitty..."
912,2015-08-25,5,nitsua49,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..
913,2019-08-23,18,rps_1899,"The Harvard-Yale study was depressing, she says, "" but my thought was,'I'm not a statistic."
914,2016-09-14,1,sheik_yerbouti,"I need a new one or better yet, I want a new capital one miles one rewards."
915,2019-08-25,15,timequake,. I'm pleased to announce that Boston sucked...
916,2017-09-09,7,craciun05,i hate the lakers..
917,2015-09-17,3,sosobanane,Love Story At Harvard [ awesome drama!
918,2019-11-02,6,viperfish12,I told her that UCLA is excellent for both...
919,2018-10-31,14,mohamadi46,Bruce Willis a cutie no lie fam
920,2018-05-05,16,f1984b,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!
921,2018-04-24,1,artykom,cause obviously toyota dealer is cheating on my feelings..
922,2015-03-11,1,jerusseust,I love my 13 year old Toyota!..
923,2019-06-26,NULL,amateur07,my awesome harvard girl......
924,2017-11-07,19,hairy-conniption,Way to go stupid Lakers..
925,2017-04-13,8,rexlex,I love coming to Seattle.
926,2016-04-18,3,alex945,London-Museums I really love the museums in London because there are a lot for me to see and they are free!
927,2015-05-03,6,jerusseust,harvard is for dumb people.
928,2017-05-04,12,timequake,i love you my harvard boy..(
929,2019-07-15,NULL,viperfish12,i love my new Macbook..
930,2016-04-08,9,tahastanly,I love the Los Angeles LAKERS!!!.
931,2016-06-22,5,piley159,I hate the exodus of subarus and honda crv's and volvos.
932,2019-06-05,10,craciun05,. I'm pleased to announce that Boston sucked...
933,2019-09-28,2,sosobanane,I'd love a Toyota van..
934,2016-07-30,NULL,youralterego,for as long as I can remember I've wanted Honda....
935,2018-01-02,NULL,piley159,gulat ata sa height mo la lng-their faces were funny hahaha!.(
936,2015-05-24,NULL,rexlex,* sigh * Gawd I love Tom Cruise.
937,2015-12-31,2,artykom,garbage game
938,2017-06-07,18,stethoscopes,"UCLA is so freaking awesome, mesh thinks its what a university is SUPPOSE to ideally look like."
939,2017-09-09,5,hassan1365416,MIT's Naxos Music Library subscription is AWESOME..
940,2016-01-05,18,alex945,It seems to me that everything I want is in Seattle.
941,2018-07-15,4,sudebala,"also, san francisco is awesome and you would have a lot of fun there..."
942,2015-09-24,10,sheik_yerbouti,Boston can suck my lucking cuticless...
943,2018-09-08,10,viperfish12,i love in seattle..
944,2018-08-16,10,odalv,Other thing we learned from this trip is that Boston radio is friggin awesome.
945,2015-09-14,NULL,artykom,But I miss Boston.
946,2018-11-12,NULL,jerusseust,i bet i am the first person ever to comment on your site from london-stinking-england!
947,2017-04-20,8,aminox,haha i love you ashley ur ahhh-mmmm-aaa-zzzz-ing!!!
948,2019-01-31,16,rexlex,Everyone knows that i simply adore Paris Hilton and Nicole Richie.
949,2015-08-17,13,mohamadi46,I love the lakers even tho Trav makes fun of me.
950,2015-12-31,NULL,jerusseust,i love u aaa!!!!!!
951,2018-09-06,NULL,sosobanane,The seattle scene is pretty amazing too....
952,2017-04-16,1,alex945,i love in seattle..
953,2019-10-31,15,f1984b,First of all American Airlines sucks!
954,2016-08-27,2,craciun05,I need some of that geico balboa stuff..
955,2017-10-14,8,sheik_yerbouti,bye bye dumb AAA hope i dun see u next semester..
956,2018-05-30,14,maharnav,THIS SONG SUCKSSSSSSS i hate paris hilton.....
957,2017-01-27,15,tahastanly,It's not that I hate UCLA...
958,2016-4-31,17,piley159,And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task cutey -- doubly freaking sweet(
959,2016-03-13,5,sheik_yerbouti,I hate the Lakers...
960,2019-04-28,11,citrus2014,"And I wanted to take good pics of the stuff I got, but stupid AAA batteries, that I don't have..."
961,2016-06-02,18,citrus2014,I have loved Tom Cruise since Risky Business...
962,2015-02-20,6,hairy-conniption,i love my new Macbook..
963,2018-12-30,7,mmarvin,"Fifteen minutes later, he'd decided that parking in Seattle sucked and that parking within a block was easier said than done..."
964,2016-12-26,20,sudebala,"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks..."
965,2015-06-12,9,timequake,seattle sucks!!!...
966,2015-10-29,NULL,citrus2014,"With that said god i cant wait to go there, seattle is awesome."
967,2019-12-01,9,bischopscup,"Well, my job at GEICO has been great so far."
968,2016-04-23,5,tahastanly,the fact that i love paris hilton or like the color pink...
969,2019-04-24,NULL,piley159,have an awesome time at purdue!..
970,2018-09-29,13,fsv,", I love Angelina Jolie though...."
971,2016-04-23,NULL,odalv,"By the time I left the Hospital, I had no time to drive to Boston-which sucked because 1)"
972,2017-05-22,2,odalv,anyways i loved beijing as much as i loved shanghai.
973,2017-04-28,7,nitsua49,London SUCKS.
974,2017-06-10,NULL,rps_1899,actually the only thing that i really like about purdue is my apartment....
975,2017-12-21,20,artykom,UCLA is beautiful.
976,2017-12-30,10,sheik_yerbouti,"Their new single is "" mit dir chill'n "", which is AWESOME!!!.."
977,2019-03-29,7,cracking12345,"And I hate to get all Angelina Jolie, look at me and my good causes on you, but there are people living in third world countries making those 200 dollar jeans for your royal("
978,2017-09-03,15,cracking12345,"However you look at it, I've been here almost two weeks now and so far I absolutely love UCLA..."
979,2017-02-23,NULL,harmon758,I so want a MacBook.
980,2018-03-01,1,piley159,for as long as I can remember I've wanted Honda....
981,2017-07-04,15,mmarvin,Metro Honda is such a cutey..
982,2019-06-12,17,piley159,"On a lighter note, I love my macbook."
983,2018-05-16,12,cracking12345,I'm beginning to really distrust Toyota dealerships.
984,2019-12-01,3,cracking12345,Stupid UCLA....
985,2015-10-21,20,bischopscup,"I love the London Little People, btw."
986,2017-04-22,12,stethoscopes,i hate boston market..
987,2019-09-18,13,maharnav,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED."
988,2018-10-08,7,tahastanly,Cs: I've heard San Francisco is beautiful..
989,2019-07-28,2,mohamadi46,"Angelina Jolie says that being self-destructive is selfish and you ought to think of the poor, starving, mutilated people all around the world."
990,2015-05-23,19,youralterego,"Today, I remembered how particularly sad it is that the details of Angelina Jolie's pregnancy, or Jennifer Aniston's latest living arrangement must be screamed out at hapless grocery shoppers the world over."
991,2016-12-10,6,citrus2014,"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (.."
992,2016-11-14,NULL,amateur07,"i think if i hate boston, ill just disappear to california for the summers..."
993,2019-05-03,3,rps_1899,I would love to go Shanghai with sister..
994,2018-01-24,4,piley159,Seattle sucks......
995,2016-02-28,9,f1984b,i love my honda...
996,2015-08-20,1,piley159,I also like Paris hilton bag whichcost sround $ 20.
997,2015-03-29,1,youralterego,"Honda is calling back some 423,344 vehicles in its home market of Japan over faulty key interlocks which allow keys to be removed from the ignition when the gearshift is in positions other than'park."
998,2017-04-16,3,hairy-conniption,"I love paris hilton, britney spears and jessica simpson."
999,2015-04-15,11,sosobanane,This superb View London Christmas gift basket is...
1000,2016-02-07,17,bischopscup,I so want a MacBook.
1001,2016-01-24,18,bischopscup,"I'll be able to vote, and I hate Hillary Clinton, and I liked John McCain back in 2000 when he ran."
1002,2016-03-24,19,citrus2014,london sucks....
1003,2016-09-03,1,sosobanane,It was really ironic that he spent the first part of class talking about his own professor at Harvard who was a pompous arrogant ass.
1004,2016-12-20,8,hairy-conniption,Boston can suck my lucking cuticless...
1005,2018-02-28,NULL,aminox,I love MIT so much...
1006,2019-11-16,18,sheik_yerbouti,"I want the one that is some where in Silicon Valley, still contemplating the end of pi, as it has been doing since the 70's. I want the Harvard robot."
1007,2017-01-24,19,mohamadi46,"and i'll take you around, no worries ( we may have to recruit a better tourguide ) i'll even go on the boring London Eye with you, if you want.."
1008,2017-08-27,16,timequake,in San Juan because American Airlines sucks.
1009,2018-10-05,NULL,hairy-conniption,I miss Purdue right now..
1010,2019-12-05,14,alex945,Not only are we ghetto girls but we both LOVE the Lakers.
1011,2015-05-02,NULL,maharnav,"besides, UCLA was a stupid dream..."
1012,2015-11-09,5,artykom,"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool."
1013,2015-12-21,19,rps_1899,Some ugly Toyota wanna be Hummer Honda Element.....
1014,2018-06-17,2,nitsua49,stupid lakers!!!!!!!!!!!
1015,2018-07-27,2,artykom,I hate Paris Hilton.
1016,2017-02-15,,nitsua49,"The sweat was rolling off of me as soon as I stepped off the plane -- 2 hours delayed, thanks to United Airlines'brilliant customer service."
1017,2017-11-12,,artykom,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way."
1018,2016-09-28,,artykom,I think it's pretty clear Angelina Jolie is an ignorant racist.
1019,2018-09-15,,sosobanane,stupid UCLA..
1020,2016-12-31,,hassan1365416,"yeah, I'm already an hour away from T. O. so it's not close for me to go to kitchener or London which sucks..."
1021,2018-08-23,,hassan1365416,Purdue is going to be awesome!..
1022,2018-04-13,,youralterego,"The stem cell business went on way too long, and Gabrieli turned what should have been his strong point into "" I love Harvard!"
1023,2015-03-08,,alex945,i miss london.
1024,2017-08-01,,timequake,I really want the Hyundai...
1025,2016-06-09,,mmarvin,The Honda civic is wicked awesome........
1026,2018-01-16,,jerusseust,"With that said god i cant wait to go there, seattle is awesome."
1027,2016-02-12,,artykom,I think the new Volkswagen commericals are quite possibly the funniest things I've seen in a long time(
1028,2016-05-12,,sosobanane,Seattle sucks......
1029,2018-12-05,,nitsua49,Oh my god I LOVE Pommes mit Mayo.
1030,2019-10-18,,piley159,I hate Paris Hilton.
1031,2017-01-04,,artykom,I hate Tom Cruise.
1032,2018-11-19,,sosobanane,"Oh man, last night's Lakers playoff game was awesome."
1033,2015-09-06,,f1984b,"I like Tom Cruise, as I've stated over and over."
1034,2015-07-07,,piley159,Angelina Jolie is beautiful.
1035,2016-04-04,,sosobanane,The Toyota Prius is butt-ugly in my opinion.
1036,2017-05-22,,harmon758,American Express was good enough to arrange a 4 hour layover for WaWa in Atlanta so that he go to the house and retrieve his passport and make it back in time to head to Toronto...
